epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.207092,0.18,2.188597,0.193333,0.001,32.3467
2,1.861273,0.44,2.004881,0.26,0.001,4.2289
3,1.639257,0.516667,1.782057,0.353333,0.001,0.478
